year,ecoregion,subregion,species,subregion_species,fbar,fmsy,fbar_fmsy,ssb,bpa,ssb_bpa
1946,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.213,0.4,0.53250,990981.0,460000,2.15400
1947,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.315,0.4,0.78750,1021872.0,460000,2.22100
1948,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.314,0.4,0.78500,836996.0,460000,1.82000
1949,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.364,0.4,0.91000,624616.0,460000,1.35800
1950,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.375,0.4,0.93750,561981.0,460000,1.22200
1951,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.426,0.4,1.06500,510901.0,460000,1.11100
1952,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.52,0.4,1.30000,499119.0,460000,1.08500
1953,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.395,0.4,0.98750,395821.0,460000,0.86000
1954,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.416,0.4,1.04000,409596.0,460000,0.89000
1955,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.502,0.4,1.25500,331508.0,460000,0.72100
1956,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.613,0.4,1.53250,284260.0,460000,0.61800
1957,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.525,0.4,1.31250,206864.0,460000,0.45000
1958,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.527,0.4,1.31750,204204.0,460000,0.44400
1959,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.532,0.4,1.33000,442805.0,460000,0.96300
1960,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.512,0.4,1.28000,402759.0,460000,0.87600
1961,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.647,0.4,1.61750,406019.0,460000,0.88300
1962,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.758,0.4,1.89500,320176.0,460000,0.69600
1963,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.874,0.4,2.18500,214506.0,460000,0.46600
1964,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.675,0.4,1.68750,192073.0,460000,0.41800
1965,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.555,0.4,1.38750,106493.0,460000,0.23200
1966,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.506,0.4,1.26500,121933.0,460000,0.26500
1967,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.537,0.4,1.34250,133557.0,460000,0.29000
1968,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.578,0.4,1.44500,228964.0,460000,0.49800
1969,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.76,0.4,1.90000,151405.0,460000,0.32900
1970,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.697,0.4,1.74250,230733.0,460000,0.50200
1971,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.585,0.4,1.46250,319399.0,460000,0.69400
1972,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.691,0.4,1.72750,365204.0,460000,0.79400
1973,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.607,0.4,1.51750,324226.0,460000,0.70500
1974,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.635,0.4,1.58750,159573.0,460000,0.34700
1975,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.635,0.4,1.58750,130599.0,460000,0.28400
1976,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.659,0.4,1.64750,167889.0,460000,0.36500
1977,Northeast Arctic,Northeast Arctic,cod,Northeast Arctic_cod,0.806,0.4,2.01500,352361.0,460000,0.76600
